airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:00:00,505,1.0,no info,10678
Indigo,2019-05-21,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,no info,2754
Indigo,2019-06-27,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,no info,4804
Indigo,2019-05-24,Banglore,Delhi,13:00:00,15:50:00,170,0.0,no info,4990
Indigo,2019-05-18,Delhi,Cochin,23:30:00,04:35:00,305,1.0,no info,10958
Air Asia,2019-04-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,no info,4409
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-05-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,no info,5192
Indigo,2019-05-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,no info,8854
Air India,2019-05-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,no info,3100
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,11627
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,no info,12273
Air India,2019-06-01,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,no info,13801
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,no info,13587
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,01:30:00,760,1.0,no info,6795
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,no info,5678
Indigo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,no info,3943
Indigo,2019-05-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,no info,8542
Vistara,2019-06-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,no info,4668
Indigo,2019-03-09,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,no info,4148
Air India,2019-06-12,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,no info,12488
Indigo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1.0,no info,4226
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,21:00:00,780,1.0,no info,13727
Air India,2019-06-12,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,no info,8366
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,no info,2227
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,no info,7198
Air India,2019-03-06,Delhi,Cochin,09:00:00,07:40:00,1360,1.0,no info,14882
Indigo,2019-06-15,Delhi,Cochin,07:35:00,22:30:00,895,1.0,no info,6442
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Air India,2019-03-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,no info,10082
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,18:50:00,890,1.0,no info,15237
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,12:35:00,395,1.0,no info,9794
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,10844
Indigo,2019-03-27,Delhi,Cochin,07:30:00,15:30:00,480,1.0,no info,8574
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:55:00,420,2.0,In-flight meal not included,11245
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,In-flight meal not included,8456
Indigo,2019-03-27,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,no info,2754
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,no info,11467
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Indigo,2019-06-06,Delhi,Cochin,16:10:00,22:30:00,380,1.0,no info,6938
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Indigo,2019-05-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,no info,4049
Multiple Carriers,2019-06-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Indigo,2019-03-06,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,no info,4778
Indigo,2019-06-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,no info,3175
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,no info,8452
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,22:35:00,520,1.0,In-flight meal not included,11134
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Vistara,2019-06-21,Delhi,Cochin,14:40:00,17:50:00,190,0.0,no info,6216
Spicejet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1.0,no info,5264
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,19:00:00,780,1.0,no info,11789
Indigo,2019-05-27,Delhi,Cochin,07:15:00,12:30:00,315,1.0,no info,5636
Indigo,2019-05-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,no info,4205
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,no info,8907
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,19:00:00,560,2.0,no info,13014
Indigo,2019-03-09,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,no info,6297
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,11841
Indigo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,no info,14871
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,no info,8040
Multiple Carriers,2019-06-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,no info,13587
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,no info,5674
Multiple Carriers,2019-06-15,Delhi,Cochin,13:15:00,22:30:00,555,1.0,no info,8018
Indigo,2019-03-24,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,no info,6985
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,19:00:00,910,1.0,no info,10197
Indigo,2019-03-21,Delhi,Cochin,07:35:00,21:20:00,825,2.0,no info,6494
Indigo,2019-05-18,Delhi,Cochin,05:10:00,10:05:00,295,1.0,no info,7580
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,no info,11538
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,no info,4284
Multiple Carriers,2019-03-03,Delhi,Cochin,18:00:00,01:35:00,455,1.0,no info,17703
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,no info,14388
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,07:40:00,665,1.0,In-flight meal not included,7832
Indigo,2019-06-12,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,no info,3858
Indigo,2019-04-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,no info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10703
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Air India,2019-05-27,Delhi,Cochin,19:00:00,19:15:00,1455,1.0,no info,8372
Air India,2019-03-12,Banglore,New Delhi,08:50:00,13:55:00,1745,2.0,no info,13303
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,no info,14571
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,no info,6442
Spicejet,2019-06-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,no info,4174
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Jet Airways,2019-05-09,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12373
Indigo,2019-05-18,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,no info,3838
Air India,2019-06-15,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,no info,10231
Jet Airways,2019-03-21,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,In-flight meal not included,7832
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,21:00:00,480,1.0,no info,7408
Air India,2019-05-06,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,no info,10151
Indigo,2019-04-01,Banglore,Delhi,00:30:00,03:25:00,175,0.0,no info,4423
Spicejet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Air Asia,2019-06-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,no info,3807
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,no info,12719
Indigo,2019-05-18,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,no info,3850
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,no info,2017
Indigo,2019-03-09,Chennai,Kolkata,17:05:00,19:40:00,155,0.0,no info,6297
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,no info,3925
Air India,2019-04-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,no info,2050
Jet Airways,2019-05-24,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,no info,15129
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,no info,14323
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8834
Vistara,2019-03-18,Delhi,Cochin,14:55:00,17:50:00,175,0.0,no info,5586
Air India,2019-06-09,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,no info,12392
Indigo,2019-05-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,no info,4049
Indigo,2019-06-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,no info,6069
Indigo,2019-05-12,Kolkata,Banglore,04:50:00,09:50:00,300,1.0,no info,4176
Air India,2019-06-09,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,no info,11668
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,no info,4174
Indigo,2019-04-09,Banglore,Delhi,07:10:00,10:05:00,175,0.0,no info,4823
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,no info,15129
Jet Airways,2019-05-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,no info,12717
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,6205
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Indigo,2019-05-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,no info,4823
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,no info,13377
Spicejet,2019-04-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,no info,3625
Indigo,2019-05-27,Banglore,Delhi,18:25:00,21:20:00,175,0.0,no info,4823
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Air Asia,2019-05-21,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,no info,5192
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,no info,14714
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,no info,9345
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,In-flight meal not included,8586
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,no info,8452
Indigo,2019-06-06,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,no info,6711
Indigo,2019-05-12,Banglore,Delhi,04:00:00,06:50:00,170,0.0,no info,3943
Air India,2019-05-09,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,no info,10178
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,7064
Indigo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,895,1.0,no info,6794
Air India,2019-06-15,Banglore,Delhi,21:05:00,23:55:00,170,0.0,no info,5228
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,no info,8295
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,9899
Air India,2019-03-03,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,no info,19508
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,no info,8855
Air India,2019-03-27,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,2575
Multiple Carriers,2019-03-21,Delhi,Cochin,14:00:00,21:00:00,420,1.0,no info,13062
Spicejet,2019-06-27,Delhi,Cochin,17:55:00,22:50:00,295,1.0,no info,4957
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,no info,13067
Air Asia,2019-06-06,Delhi,Cochin,07:55:00,22:25:00,870,1.0,no info,8759
Jet Airways,2019-04-01,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,5177
Indigo,2019-04-06,Banglore,Delhi,23:30:00,02:20:00,170,0.0,no info,4591
Indigo,2019-06-15,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,no info,4804
Spicejet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,no info,2017
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1.0,no info,13587
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,no info,3971
Air India,2019-05-21,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,no info,10231
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12898
Goair,2019-03-01,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,no info,18558
Indigo,2019-06-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,no info,4804
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,no info,7648
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Jet Airways,2019-06-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Indigo,2019-04-18,Banglore,Delhi,18:55:00,21:50:00,175,0.0,no info,5780
Indigo,2019-03-24,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,no info,8872
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,no info,12346
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,no info,7198
Air India,2019-06-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,no info,7952
Spicejet,2019-06-12,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,no info,4174
Indigo,2019-03-21,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,no info,2754
Jet Airways,2019-06-01,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,In-flight meal not included,10919
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,no info,4804
Indigo,2019-03-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,no info,4148
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,In-flight meal not included,10703
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6478
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,In-flight meal not included,6733
Goair,2019-04-21,Delhi,Cochin,10:35:00,19:35:00,540,1.0,no info,7031
Multiple Carriers,2019-06-01,Delhi,Cochin,16:00:00,01:30:00,570,1.0,no info,13377
Multiple Carriers,2019-05-01,Delhi,Cochin,10:20:00,19:00:00,520,1.0,no info,9794
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,no info,26890
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:15:00,535,1.0,no info,8266
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,13843
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,9275
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,no info,9719
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,no info,3687
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,no info,12395
Indigo,2019-03-03,Delhi,Cochin,07:20:00,12:30:00,310,1.0,no info,12214
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,no info,8452
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,no info,12121
Air India,2019-04-03,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,no info,5117
Air India,2019-06-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,no info,4145
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,8586
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,no info,9863
Indigo,2019-06-06,Delhi,Cochin,15:00:00,01:30:00,630,1.0,no info,5883
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,no info,2227
Vistara,2019-06-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,no info,4668
Indigo,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1.0,no info,8784
Indigo,2019-03-06,Delhi,Cochin,09:10:00,01:35:00,985,1.0,no info,14871
Indigo,2019-06-09,Delhi,Cochin,08:30:00,21:00:00,750,1.0,no info,6838
Indigo,2019-06-03,Delhi,Cochin,06:50:00,22:30:00,940,1.0,no info,7514
Air Asia,2019-06-03,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,no info,4409
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,no info,14939
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Multiple Carriers,2019-06-27,Delhi,Cochin,09:15:00,19:15:00,600,1.0,no info,8099
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,no info,8820
Jet Airways,2019-06-12,Delhi,Cochin,08:10:00,12:35:00,1705,2.0,no info,14300
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,In-flight meal not included,7832
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,22:55:00,355,1.0,no info,8977
Vistara,2019-03-01,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,no info,21730
Air India,2019-03-06,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,no info,11552
Indigo,2019-03-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,no info,5733
Air India,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,no info,8372
Indigo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,no info,2754
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,01:30:00,840,1.0,no info,13727
Indigo,2019-03-24,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,no info,7295
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Indigo,2019-04-09,Banglore,Delhi,05:30:00,08:20:00,170,0.0,no info,3943
Air India,2019-06-01,Delhi,Cochin,05:10:00,08:00:00,170,0.0,no info,6094
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,no info,9187
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,no info,12819
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,no info,14781
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,no info,13587
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,16:10:00,385,1.0,no info,9646
Multiple Carriers,2019-03-03,Delhi,Cochin,07:30:00,18:50:00,680,1.0,no info,15135
Spicejet,2019-05-09,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,no info,8479
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,11:25:00,340,1.0,In-flight meal not included,11087
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,15:30:00,690,1.0,no info,14973
Goair,2019-06-12,Delhi,Cochin,10:35:00,19:35:00,540,1.0,no info,4959
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,3625
Air India,2019-05-15,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,no info,14687
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,no info,5678
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1.0,no info,9646
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,no info,13759
Air India,2019-05-18,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,no info,8576
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,no info,14388
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,no info,14388
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Indigo,2019-06-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,no info,4049
Jet Airways,2019-03-18,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,4995
Indigo,2019-04-06,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,no info,4174
Jet Airways,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,no info,17024
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,no info,3670
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,21:00:00,725,1.0,no info,15147
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,no info,5228
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1185,1.0,no info,12173
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,no info,12284
Multiple Carriers,2019-04-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,no info,11142
Vistara,2019-03-24,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,no info,4353
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,no info,9922
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,16:10:00,540,1.0,no info,6513
Indigo,2019-06-09,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Vistara,2019-06-27,Banglore,Delhi,11:30:00,14:20:00,170,0.0,no info,4668
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,13:20:00,375,1.0,no info,17267
Indigo,2019-03-03,Delhi,Cochin,04:45:00,13:20:00,515,1.0,no info,14871
Air India,2019-03-27,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,no info,8026
Air Asia,2019-04-24,Banglore,Delhi,11:10:00,13:55:00,165,0.0,no info,3383
Indigo,2019-04-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,no info,6937
Air India,2019-05-12,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,no info,6612
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,no info,9345
Jet Airways,2019-06-12,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,5769
Air India,2019-06-24,Delhi,Cochin,10:55:00,19:15:00,500,2.0,no info,11753
Vistara,2019-05-01,Banglore,Delhi,07:00:00,09:40:00,160,0.0,no info,4668
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,12:35:00,825,1.0,no info,11822
Spicejet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,no info,4423
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,no info,14231
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,no info,5162
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,no info,13587
Jet Airways,2019-04-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,11841
Indigo,2019-05-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,no info,4804
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,22:30:00,920,1.0,no info,6513
Air India,2019-04-01,Kolkata,Banglore,16:45:00,23:15:00,1830,3.0,no info,8607
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,no info,8662
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,no info,12242
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,no info,10953
Jet Airways,2019-04-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,no info,7229
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,In-flight meal not included,9134
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:00:00,615,1.0,no info,12524
Multiple Carriers,2019-05-27,Delhi,Cochin,10:20:00,19:00:00,520,1.0,no info,9794
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,no info,22270
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,no info,13587
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,01:30:00,760,1.0,no info,6795
